"M","M1","M2","M3"
"10","83.51","31.455497382198953","31.32460732984293"
"20","89.8475","38.69291338582677","38.653543307086615"
"30","102.49000000000001","49.75535714285714","49.725"
"40","101.91875","48.977715877437326","48.90389972144847"
"50","123.824","69.37802197802198","69.31978021978021"
"60","148.59333333333333","94.22020018198363","94.04181818181819"
"70","185.17000000000002","131.94798136645963","131.23680124223603"
"80","212.3775","164.30482009504414","163.42672998643147"
"90","230.625","180.134817563389","179.1347342398022"
"100","246.0465","198.91666666666666","197.60111111111112"
"110","292.13772727272726","239.27849406910778","238.6766374419804"
"120","306.03166666666664","258.4602510460251","257.16163492800746"
"130","337.3","286.8595652173913","286.0095652173913"
"140","369.7257142857143","304.0256312165264","303.726090283091"
"150","446.56166666666667","393.5715796897038","392.8621783574198"
"160","453.10062500000004","398.25864406779664","397.91084745762714"
"170","481.5970588235294","427.5722010178117","427.1851145038168"
"180","476.67861111111114","419.6532180595581","419.42042907460774"
"190","492.7626315789474","438.5497925311203","437.6581753554502"
