"D","M1","M2","M3"
"100","915.65","699.722891566265","626.95"
"150","1008.4399999999999","710.3720930232558","664.89"
"200","1035.96","744.8602150537635","688.37"
"250","1071.03","716.9578947368421","676.74"
"300","1079.59","712.9578947368421","677.56"
"350","1283.1799999999998","663.5473684210526","625.8"
"400","1130.25","699.90625","659.67"
"450","1167.66","689.0322580645161","654.38"
"500","1190.49","682.7604166666666","649.4"
"550","1237.54","669.8260869565217","637.27"
"600","1283.49","659.6288659793814","617.55"
"650","1287.02","662.1276595744681","624.09"
"700","1411.06","670.4791666666666","642.27"
"750","1705.58","679.9032258064516","630.46"
"800","1478.98","668.2105263157895","632.73"
"850","1513.59","684.7446808510638","643.19"
"900","1512.81","665.6703296703297","632.98"
"950","1597.09","686.1648351648352","623.83"
"1000","1601.51","665.7684210526315","621.4"
