"N","M1","M2","M3"
"1000","20.0512","10.023577235772358","1.7979674796747966"
"1300","23.0328","11.875766244380875","2.5709031467102577"
"1600","35.6776","17.22063037249284","3.080638559148588"
"1900","41.81","21.321796456530695","4.5100947672023075"
"2200","55.1716","27.849670510708403","5.674629324546952"
"2500","59.63","30.531224322103533","6.6536565324568615"
"2800","72.3432","37.209815950920245","8.139059304703476"
"3100","81.436","42.12749169435216","9.600083056478406"
"3400","89.6532","47.70778947368421","11.839578947368421"
"3700","102.4404","54.25277892136682","13.617126389460683"
"4000","110.4416","59.80642469753859","15.953711426188491"
"4300","128.8448","69.10799670239076","18.914709517923363"
"4600","148.3392","79.51963621331129","21.840429929723026"
"4900","163.6232","90.3992506244796","24.753955037468778"
"5200","171.646","95.14036544850498","28.16860465116279"
"5500","165.9148","95.5703125","31.53298611111111"
"5800","182.9784","108.75991471215352","35.5816631130064"
"6100","204.178","125.83275563258232","40.408578856152516"
"6400","209.77","129.65129310344827","46.172844827586204"
"6700","225.3992","151.7025730484082","57.259921500218056"
"7000","247.7196","171.16630947278182","73.30861551650236"
"7300","254.7416","190.66925734024178","81.45725388601036"
"7600","275.0888","230.1728081321474","97.11012282930962"
"7900","331.2156","238.8345554537122","91.69890009165903"
"8200","323.652","282.50587741393787","112.803946263644"
"8500","350.5368","325.9049569848423","126.84473576403113"
"8800","407.5184","354.877731092437","137.56176470588235"
"9100","413.5568","389.7273104019892","148.21425611272275"
"9400","441.3488","416.5973813420622","156.78191489361703"
"9700","517.7208","460.6250527203712","176.80472374525516"
"10000","534.1172","503.0279146141215","186.45853858784892"
